Key,Id,English(en)
"hydraright_hydrapassiveright",2299820474375,"After being killed, the Hydra's heads will regrow after 2 turns"
"powerseed_sporeheal_title",2299820474376,"Healing Spore"
"powerseed_sporeheal",2299820474377,"A dim light emits from the spore"
"batsu_bloodsuck_title",768040070447104,"Blood Steal"
"batsu_bloodsuck",768040104001536,"Deals 2 damage and heals for the damage dealt"
"batsu_disorientingstrike_title",768040104001537,"Disorienting Strike"
"batsu_disorientingstrike",768040104001538,"Deals 1 DMG, Applies 2 Weak"
"batsu_shriek_title",768040104001539,"Shriek"
"batsu_shriek",768040104001540,"Apply 1 weak to all"
"batsu_culltheweak_title",768040108195840,"Cull the weak"
"batsu_culltheweak",768040108195841,"If this card receives 0 DMG, counterattacks"
"spider_bite_title",1003194427342848,"Bite"
"spider_bite",1003194473480192,"Deals $d$ DMG"
"spider_poisonousspit_title",1003194477674496,"Poisonous Spit"
"spider_poisonousspit",1003194477674497,"Deals $d$ DMG, Applies 2 $Poison$"
"spider_web_title",1003194477674498,"Web"
"spider_web",1003194477674499,"Applies 1 $Stun$"
"shrong_selfheal_title",1037173588656128,"Protein Shake"
"shrong_selfheal",1037173622210560,"Heal Self for 2HP"
"shrong_punch_title",1037173622210561,"80LB Punch"
"shrong_punch",1037173622210562,"Deals $d$ DMG"
"shrong_toxicspore_title",1037173622210563,"Fungym Sweat"
"shrong_toxicspore",1037173622210564,"Applies 2 $Poison$"
"broodmother_evolved_radioactivebite_title",25723885619150848,"RadioActive Bite"
"broodmother_evolved_radioactivebite",25723885631733760,"Deals $d$ DMG and Applies 2 $Poison$"
"broodmother_evolved_radioactivespray_title",25723885631733761,"Radioactive Spray"
"broodmother_evolved_radioactivespray",25723885631733762,"Applies 2 $Poison$ to every ally card"
"broodmother_evolved_eatspiderlings_title",25723885631733763,"Eat Spiderlings"
"broodmother_evolved_eatspiderlings",25723885631733764,"Feeds on its offspring to GROW"
"broodmother_evolved_webpassive_title",25723885631733765,"Silky Secretion"
"broodmother_evolved_webpassive",25723885631733766,"Apply $Webbed$ to random allies"
"broodmother_evolved_spiderlingpassive_title",25723885631733767,"BroodMother's nest"
"broodmother_evolved_spiderlingpassive",25723885631733768,"2 Spiderlings will join the fight every 2 turns"
"spider_tiny_tinyfang_title",27048260184211456,"Tiny Fang"
"spider_tiny_tinyfang",27048260213571584,"Deal $d$ DMG, Applies 1 $Poison$"
"spider_tiny_feebleweb_title",27048260213571585,"Feeble Web"
"spider_tiny_feebleweb",27048260213571586,"Applies 1 $Webbed$"
"lilguy_torpedopassive_title",27467369693282304,"Explosive Friend"
"lilguy_torpedopassive",27467466401349632,"On death, apply $Weak$ to all cards on the same board"
