Key,Id,English(en)
"pastabox_whaledamage_title",1479028212727808,"Powerfull Blowhole"
"pastabox_whaledamage",1479028233699328,"At Turn start, gain 1 $BonusDamage$
The card on your Left also gains 1 $BonusDamage$"
"pastabox_whalearmor_title",1479028233699329,"Warm Blubber"
"pastabox_whalearmor",1479028233699330,"On Turn end, gain 1 $Armor$
The card on your Right also gains 1 $Armor$"
"necromancer_necromancerpassive_title",1844832506707968,"No Waste In This Household"
"necromancer_necromancerpassive",1844832523485184,"Produce a $Corpse$ for every card that dies"
"gutter-spider_spiderballpassivedodge_title",2338466909880320,"Ballin'"
"gutter-spider_spiderballpassivedodge",2338466926657536,"50% chance to negate incoming damage"
"gutter-spider_spiderballpassiveberserk_title",2338818082177024,"Breakin'"
"gutter-spider_spiderballpassiveberserk",2338818082177025,"50% chance to deal double damage
50% chance to receive double damage"
"kraken_krakendamagepassive_title",21143546815545344,"Trusty Blowtorch"
"kraken_krakendamagepassive",21143546836516864,"Gives $BonusDamage$ to adjacent cards when Diving"
"kraken_krakenarmorpassive_title",21143546836516865,"Check the TODO list"
"kraken_krakenarmorpassive",21143546836516866,"Gives $Armor$ to adjacent cards when Surfacing"
"starseer_starseerpassive_title",21158694607355904,"Everyday is leg day"
"starseer_starseerpassive",21158694624133120,"$BonusDamage$ applied to Starseer never expire"
"martinigladiatorini_gladiatorpassive_title",21352221375168512,"Pointy Spears Make You Go Ouch"
"martinigladiatorini_gladiatorpassive",21352221391945728,"Martini's attacks apply a $Spear$ stack to targets"
